id;course_id;user_id;subscription_id;promo_id;discount_percentage;checkout_date;check_out_status;creation_date
1;1740;multi-tasking Movies multi-byte;26855;62035;13761;2021-08-14T16:45:37;Run Human Pizza;2021-08-14T09:56:57
2;12022;Savings Account Oklahoma Borders;62726;71251;84490;2021-08-14T12:56:17;RAM quantifying;2021-08-14T14:51:58
3;67045;Pizza;39015;88541;68652;2021-08-14T13:33:10;New Mexico benchmark;2021-08-14T15:39:06
4;16352;Home Loan Account Swedish Krona Gorgeous;46186;71349;86377;2021-08-14T18:07:12;New Hampshire deposit Books;2021-08-14T11:48:10
5;71674;Checking Account deposit Montana;27988;78443;780;2021-08-14T22:55:19;Credit Card Account;2021-08-15T03:06:42
6;28737;Intranet;15769;25243;49800;2021-08-15T04:45:11;Bike;2021-08-15T01:25:39
7;93990;Buckinghamshire indexing interactive;91070;36051;68925;2021-08-14T18:06:50;eyeballs;2021-08-15T04:30:53
8;4296;Object-based back up indexing;3842;39108;80508;2021-08-14T23:48:13;architectures;2021-08-14T19:55:29
9;61510;Bike Car;87595;57306;35770;2021-08-14T10:10:28;RSS;2021-08-14T09:43:09
10;49811;e-enable ROI;47860;14192;3627;2021-08-14T08:48:33;Fantastic Soft Computer Swedish Krona;2021-08-14T07:11:38
