id;course_id;institute_id;status;user_id;subscription_id;activity_date
1;1218;10817;Accountability ivory;Checking Account;25119;2022-01-04T09:09:41
2;218;73130;Optimization;Checking Account Personal Loan Account;74553;2022-01-03T20:21:35
3;41854;83546;Handcrafted calculate bluetooth;online;87140;2022-01-04T14:01:42
4;74122;64020;Streets Books;Ergonomic Wooden Chicken azure Internal;28550;2022-01-03T16:56:42
5;31278;58331;Checking Account Direct;withdrawal virtual Technician;34038;2022-01-03T21:52:18
6;65066;98259;digital Cloned;connect Licensed Granite Towels;56974;2022-01-03T15:23:15
7;69032;20160;Facilitator Barbados Dollar Practical Soft Shirt;International Awesome Cotton Shoes copy;95311;2022-01-03T23:10:58
8;93269;50792;Assistant 5th generation;Plastic;64974;2022-01-04T05:15:12
9;12600;36166;EXE;Licensed Plastic Chair;32394;2022-01-04T12:39:17
10;88257;11172;protocol Garden invoice;Future;85611;2022-01-04T06:10:53
