id;course_id;institute_id;enrollment_status;course_completion_status;user_id;subscription_id;activity_date
1;97364;96794;1080p;Metrics;withdrawal COM;56746;2021-09-06T04:02:33
2;22296;60232;Intelligent Soft Pants payment;overriding;Optimization;10159;2021-09-05T14:21:01
3;24206;12364;Denar interfaces;portals HTTP Interactions;Algeria Branding Assistant;69217;2021-09-05T13:22:46
4;55556;62335;Wyoming;Shirt middleware;Cambridgeshire transmitting;6319;2021-09-06T05:08:16
5;35258;93127;open-source;Credit Card Account synthesizing;Switchable uniform Mobility;94135;2021-09-06T02:21:19
6;80052;397;Multi-tiered reciprocal;hub;Money Market Account;35727;2021-09-06T01:25:40
7;7654;86428;Credit Card Account 1080p Refined;dynamic Berkshire;back-end;47176;2021-09-05T23:49:23
8;52785;89341;Auto Loan Account;Villages;JBOD Table;67365;2021-09-06T02:44:06
9;48875;80053;Wooden sky blue Usability;Rupiah programming user-centric;compress;7301;2021-09-05T11:59:24
10;78726;19178;transmitting infrastructure applications;black revolutionize;Forward protocol Colombian Peso Unidad de Valor Real;49555;2021-09-05T18:39:05
